Region,Nationality,Year,Number,,
East Asia,South Korea,2018,"1,785,147",,
East Asia,Macao,2018,,,
East Asia,Mongolia,2018,,,
East Asia,Taiwan,2018,"674,172",,
East Asia,Other East Asia,2018,"101,921",,
South Asia,Bangladesh,2018,"125,809",,
South Asia,Bhutan,2018,,,
South Asia,India,2018,"1,562,878",,
South Asia,Iran,2018,,,
South Asia,Maldives,2018,,,
South Asia,Nepal,2018,"55,482",,
South Asia,Pakistan,2018,"78,256",,
South Asia,Sri  Lanka,2018,"62,697",,
South Asia,Other South Asia,2018,"50,761",,
Asia,Other in Asia,2018,,,
Oceania,Australia,2018,"802,234",,
Oceania,New  Zealand,2018,"100,887",,
Oceania,Other Oceania,2018,"7,917",,
Middle East,Bahrain,2018,,,
Middle East,Egypt,2018,"18,161",,
Middle East,Iraq,2018,,,
Middle East,Jordan,2018,,,
Middle East,Kuwait,2018,"77,365",,
Middle East,Lebanon,2018,,,
Middle East,Oman,2018,,,
Middle East,Qatar,2018,,,
Middle East,Saudi  Arabia,2018,"35,090",,
Middle East,U.A.E.,2018,"151,137",,
Middle East,Yemen,2018,,,
Middle East,Other Middle East,2018,"300,677",,
North Europe,Denmark,2018,"170,044",,
North Europe,Finland,2018,"135,384",,
North Europe,Iceland,2018,,,
North Europe,Ireland,2018,,,
North Europe,Norway,2018,"133,020",,
North Europe,Sweden,2018,"304,206",,
North Europe,United  Kingdom,2018,"954,404",,
West Europe,Austria,2018,"114,768",,
West Europe,Belgium,2018,"116,346",,
West Europe,France,2018,"724,350",,
West Europe,Germany,2018,"872,185",,
West Europe,Luxembourg,2018,,,
West Europe,Netherlands,2018,"226,618",,
West Europe,Switzerland,2018,"225,985",,
Central/East Europe,Belarus,2018,,,
Central/East Europe,Bulgaria,2018,,,
Central/East Europe,Czech Republic,2018,,,
Central/East Europe,Estonia,2018,,,
Central/East Europe,Hungary,2018,,,
Central/East Europe,Kazakhstan,2018,,,
Central/East Europe,Kyrgyzstan,2018,,,
Central/East Europe,Latvia,2018,,,
